param_prl  stim  subj_idx    value_prl           std        2.5q          25q         50q         75q       97.5q       mc_err
a    food    54                 1.38855   0.0566413     1.28562      1.34953     1.38697     1.42651     1.50394   0.00177373
a    food    55                 1.40638   0.0667776     1.28524      1.36178      1.4045     1.44706     1.54501    0.0021467
a    food    56                 2.11887    0.176482     1.80195      2.00366     2.11411     2.21992     2.49756   0.00964644
a    food    57                 0.85181   0.0421049    0.773255     0.823248    0.850742    0.880194    0.936484   0.00170624
a    food    58                 1.70141   0.0630663     1.58621      1.65661     1.70089     1.74348     1.83171   0.00202448
a    food    59                 1.50221   0.0551877     1.39801      1.46548     1.50097     1.53776     1.61948    0.0017935
a    food    60                 1.10803    0.049016     1.01426      1.07591     1.10722     1.13903     1.20729   0.00168152
a    food    61                 1.46241    0.060329     1.34793       1.4215     1.46112     1.50218     1.58651   0.00203829
a    food    62                 1.70146   0.0579067     1.59596       1.6599     1.69872     1.73827     1.82104   0.00139622
a    food    63                 1.21489   0.0528238     1.11212      1.17829      1.2153     1.25075     1.32012   0.00172262
a    food    64                  1.2152   0.0718917     1.08521      1.16405     1.21168     1.26339     1.36204    0.0035685
a    food    65                 1.32411    0.062267     1.20612      1.28208     1.32397       1.364     1.45056   0.00231288
a    food    66                  1.4072    0.051755     1.30997      1.37164     1.40596     1.44086     1.51406   0.00161507
a    food    67                 1.41642   0.0560622     1.30717      1.37742     1.41681     1.45194     1.52998    0.0017283
a    food    68                 0.99461   0.0421883    0.914863     0.966891    0.991429     1.02308     1.07917   0.00138068
a    food    69                 1.28239    0.048121     1.19067      1.24872     1.28125       1.315      1.3794   0.00147386
a    food    70                0.978856   0.0438562    0.897791      0.94874    0.976285     1.00922     1.06781   0.00159846
a    food    71                 1.45847   0.0741738     1.32273      1.40789     1.45598     1.50966     1.60663   0.00260714
a    food    72                 1.24829   0.0483599     1.15761      1.21519      1.2458      1.2793     1.34517   0.00154532
a    food    73                 1.25489   0.0576194     1.14559      1.21505     1.25295     1.29304     1.37326   0.00188826
a    food    74                 1.64162   0.0702343     1.50533      1.59153     1.64123     1.68926     1.77961   0.00208252
a    food    75                 1.65362   0.0665742     1.52794      1.60995     1.65215     1.69748     1.79042   0.00216973
a    food    76                 1.57528   0.0722575     1.43093      1.52877     1.57438     1.62365     1.71175   0.00277872
a    food    77                  1.5485   0.0605785     1.43285      1.50659     1.54585     1.58615     1.68144   0.00184156
a    food    78                 1.09132   0.0436605     1.01092      1.06113     1.08985     1.11877     1.18333   0.00137012
a    food    79                 1.19563   0.0557166      1.0874      1.15751     1.19317     1.23338     1.30704   0.00173099
a    food    80                  1.2538   0.0558349     1.15099      1.21514     1.25271     1.29006     1.36834   0.00200032
a    food    81                 1.39057   0.0544933     1.29184      1.35002     1.39045     1.42675     1.50031   0.00180644
a    food    82                 1.49091   0.0540567     1.38806      1.45384     1.48928     1.52689     1.60108   0.00153093
a    food    83                 1.26419   0.0539104     1.16282      1.22625     1.26203     1.30124     1.37105   0.00158033
a    food    84                 1.50165   0.0576317     1.39635      1.46178      1.4977     1.53939     1.62045   0.00171814
a    food    85                 1.71444   0.0629109     1.59935       1.6693     1.71209     1.75752     1.83518   0.00156693
a    food    86                 1.35556   0.0540817      1.2557      1.31785     1.35382     1.39186     1.46881   0.00174815
a    food    87                 1.57771   0.0609008     1.46463      1.53525     1.57437     1.61683     1.70329    0.0019616
a    food    88                 1.03464   0.0652862    0.923011     0.991325     1.02889     1.07366      1.1758    0.0035123
a    food    89                 1.45088    0.054074     1.34883      1.41358     1.44946     1.48535     1.56225   0.00166729
a    food    90                 1.03717    0.047472    0.949474      1.00331     1.03703     1.06781     1.13468   0.00160128
a    food    91                 1.08875    0.054106    0.990386      1.05193     1.08639     1.12274     1.20359   0.00201739
a    food    92                0.962254   0.0441357     0.87923     0.930943    0.960758    0.992309     1.05126   0.00162247
a    food    93                 1.03098   0.0462208    0.943732     0.998733      1.0297      1.0608     1.12535   0.00170572
a    food    94                 1.55834   0.0572186     1.45316      1.51715     1.55528     1.59543     1.67895   0.00207532
a    food    95                 1.43135   0.0561486     1.32722      1.39243      1.4302     1.46818     1.54222   0.00161199
a    food    96                 1.00425   0.0407853     0.92853     0.975621     1.00288     1.03152     1.08763   0.00147913
a    food    97                 1.50823   0.0559789     1.39983      1.47186     1.50634     1.54321     1.62126   0.00145194
a    food    98                 1.34344    0.055193     1.24195      1.30544     1.34086      1.3797     1.45927   0.00164347
a    food    99                 1.42225   0.0573119     1.31362      1.38073     1.42157     1.45864     1.54301   0.00195151
a    food    100                1.32473   0.0537259     1.22292      1.28755     1.32349       1.359     1.43087   0.00177435
a    food    101                1.45901   0.0581956     1.35327      1.41901     1.45648     1.49737     1.57653   0.00186566
a    food    102                 1.1622   0.0587992     1.05031      1.12067     1.16118     1.20104     1.27869   0.00200701
a    food    103                1.20932    0.060385     1.10383      1.16724     1.20696     1.24768     1.34198   0.00245062
a    food    104                1.57171   0.0608868     1.45665       1.5279     1.57088     1.61115     1.69239   0.00186132
a    food    105                1.38079   0.0559233     1.28262      1.34007     1.37786     1.41665     1.49483   0.00174888
a    food    106                1.28607   0.0577073     1.18051      1.24507     1.28294     1.32489     1.40275   0.00205421
a    food    107                1.78486   0.0840506     1.62943      1.72619     1.78091     1.84139     1.94807   0.00294398
a    food    108                1.33801   0.0681412     1.21564      1.29355     1.33496     1.37853     1.48634   0.00248479
a    food    109                1.22328   0.0467451     1.13808      1.18945     1.22123     1.25516     1.31556   0.00119092
a    food    110                1.08303   0.0578539    0.973812      1.04343     1.08298     1.12163     1.20273   0.00219251
a    food    111                1.16357   0.0546207     1.06373       1.1264     1.16087      1.1985     1.27841   0.00191459
a    food    112                1.13152   0.0482289     1.03915      1.10089     1.13014     1.16234     1.23108   0.00161421
a    food    113                1.21464   0.0487069     1.12194      1.18088     1.21194     1.24763     1.31172   0.00163396
a    food    114                1.46196   0.0642191     1.34145      1.41667      1.4621     1.50526     1.58732   0.00230041
a    food    115                1.68619   0.0717473     1.54373        1.641     1.68569     1.73247     1.82785   0.00244988
a    food    116                1.69874    0.112036     1.48033      1.61617     1.70574     1.78026      1.9023   0.00858944
a    food    117                1.28797   0.0541366     1.18428      1.25186     1.28721      1.3238     1.39538    0.0016157
a    food    118                 1.7502   0.0866443     1.59656      1.69002      1.7432     1.80703     1.92933   0.00349095
a    food    119                1.36982   0.0531579     1.27009      1.33187      1.3687     1.40685     1.47734   0.00141172
a    food    120                1.43111   0.0603962     1.31075      1.39021     1.43198     1.47043     1.55699    0.0020295
a    food    121                1.11788   0.0573836     1.00954      1.07821     1.11461     1.15749     1.23455   0.00186995
a    food    122                1.48967   0.0628595     1.37164      1.44682     1.48905     1.53078     1.61566   0.00182034
a    food    123                1.20166   0.0529919     1.10112      1.16595     1.20031      1.2363     1.31049   0.00175825
a    food    124                 1.4838   0.0577298     1.36949      1.44383     1.48395     1.52186      1.6009   0.00178392
a    food    125                1.34061   0.0675881     1.21391      1.29322     1.33737     1.38576     1.47654   0.00265492
a    food    126               0.997136   0.0409409    0.922404     0.970244    0.995071       1.024     1.08047   0.00122724
a    food    127                 1.0548    0.042764    0.978286      1.02423     1.05269     1.08186     1.14523   0.00166457
a    food    128                1.09547   0.0523601    0.997162      1.06056     1.09491     1.12813     1.20234    0.0020119
a    food    129                1.46089   0.0613613     1.34558      1.41801     1.46017     1.49979     1.58622   0.00226553
a    food    130                1.36194   0.0537332     1.26139      1.32463     1.36072     1.39441     1.47033   0.00183004
a    food    131                1.26883   0.0512726     1.17643      1.23325     1.26857      1.3009     1.37306   0.00157343
a    food    132                1.07085   0.0470134    0.978935      1.03991     1.06904     1.10242     1.16116   0.00157919
a    food    133                1.64011   0.0630261      1.5166      1.59652     1.63931     1.68332     1.76762   0.00197562
a    food    134                1.54901   0.0630332     1.42506      1.50753     1.54866      1.5914     1.67703   0.00201076
a    food    135               0.918157    0.058964    0.826905     0.875812    0.911875    0.946656     1.06418   0.00342353
a    food    136                1.37522   0.0584541      1.2639      1.33636     1.37288     1.41322     1.49725   0.00200807
a    food    137                1.66943   0.0634504     1.54914       1.6261     1.66954     1.70921     1.79959   0.00178102
a    food    138                1.11816    0.052371      1.0216      1.08154     1.11531     1.15223     1.22556   0.00192392
a    food    139                1.04895   0.0492188    0.957372      1.01542     1.04718     1.07955     1.15367   0.00155103
a    food    140                1.20013   0.0477686     1.10768      1.16726     1.20108      1.2319     1.29245   0.00147567
a    food    141                1.54284   0.0598541     1.42768      1.50178      1.5431     1.58165     1.66846   0.00167988
a    food    142                 1.0984   0.0433922     1.01997      1.06757     1.09672      1.1277     1.18722   0.00147313
a    food    143                1.17599    0.045119      1.0927      1.14482     1.17322      1.2071     1.26564   0.00129179
a    food    144                1.71111   0.0640363     1.59276       1.6649     1.71188     1.75318     1.84752   0.00188303
a    food    145                1.34173   0.0539929     1.24293      1.30403     1.34107     1.37604     1.44955   0.00193876
a    food    146                1.12348   0.0518496     1.02878      1.08676     1.12308      1.1574     1.23381   0.00211149
a    food    147                1.23794   0.0531842      1.1377      1.20075     1.23705     1.27257     1.34774   0.00187254
a    food    148                1.04779   0.0431954    0.965463      1.01731     1.04707     1.07787     1.13279   0.00124242
a    food    149                1.35832   0.0551196       1.252      1.32073      1.3588     1.39559     1.47007   0.00158689
a    food    150                1.41726   0.0554307     1.30809      1.37812     1.41738     1.45412     1.52549   0.00189194
a    food    151                1.70587   0.0619493     1.58759      1.66537     1.70455     1.74633     1.82713   0.00218332
a    food    152                1.34791   0.0558168     1.24236      1.30964     1.34528     1.38338     1.46243   0.00178231
a    food    153               0.874246   0.0387771    0.801608     0.847557    0.872699    0.899208     0.95602   0.00124208
a    food    154                1.31716   0.0540972     1.21211      1.28088     1.31696     1.35246     1.42616   0.00168873
a    food    155                1.52222   0.0651697     1.39638      1.47715     1.52072     1.56398     1.65757   0.00211044
a    food    156                1.20167   0.0529398     1.10237      1.16551     1.19986     1.23591     1.30905   0.00180932
a    food    157                1.86223   0.0765758     1.71765      1.80903     1.85845     1.91244     2.02067   0.00212255
a    food    158                1.60252   0.0721956     1.46555      1.55375     1.60004     1.65034     1.74941   0.00247978
a    food    159                1.22237   0.0606254     1.10909      1.18264      1.2204     1.26154     1.34822   0.00246044
a    food    160                1.10441   0.0486461     1.01337      1.06982     1.10241     1.13722     1.20364   0.00162181
a    food    161                1.55121   0.0597736     1.43652      1.50952     1.54923     1.59089     1.67882   0.00171826
a    food    162                1.49756    0.073558      1.3607      1.44712     1.49407     1.54301     1.65581   0.00279853
a    food    163                1.13561   0.0531111      1.0413      1.09875     1.13302     1.16986     1.25085   0.00180909
a    food    164                1.44534   0.0568137     1.33977      1.40841     1.44418     1.48221     1.56219   0.00168033
a    food    165                1.40338   0.0546239     1.30113      1.36553     1.40175     1.44168        1.51   0.00165781
a    food    166                1.60224   0.0668482     1.47667      1.55714     1.59976     1.64576     1.74475   0.00217898
a    food    167                 1.5484   0.0644639     1.42891      1.50507     1.54548     1.59067     1.67842   0.00188397
a    food    168                1.31373   0.0507809     1.21349      1.27922     1.31283      1.3476     1.41741   0.00171125
a    food    169                1.51489   0.0571227     1.40882      1.47453     1.51263     1.55265      1.6291   0.00186674
a    food    170                1.54557   0.0584547     1.43475      1.50495     1.54471     1.58557     1.66284   0.00161992
a    food    171                 1.5829   0.0665813     1.45686      1.53776     1.58069     1.62568     1.71538   0.00229949
a    food    172                1.31385   0.0627472     1.19376      1.27129     1.31176      1.3539     1.44163   0.00220623
a    food    173                1.19941   0.0471225     1.11337      1.16768     1.19697     1.22904     1.29882   0.00147894
a    food    174                1.26942   0.0524336     1.17244      1.23271     1.26964     1.30297     1.37522   0.00177986
a    food    175                1.11439   0.0599814     1.00756       1.0724     1.11283     1.15335     1.24115   0.00232234
a    food    176                1.01914   0.0398439    0.942584     0.991451     1.01909     1.04466     1.09985    0.0012834
a    food    177                1.48605   0.0558973      1.3823      1.44576     1.48666     1.52042     1.60425   0.00157191
a    food    178                1.65453   0.0648534     1.52783      1.61057     1.65319     1.69724     1.78472   0.00217265
a    food    179                1.41647   0.0552968     1.31697      1.37575     1.41294     1.45319     1.53222   0.00205481
a    food    180                1.09854   0.0484559     1.00478      1.06512     1.09762     1.13302     1.19225   0.00164621
a    food    181                1.35427    0.050556     1.26236      1.31991      1.3521     1.38777     1.46015   0.00161683
a    food    182                1.70397   0.0720429     1.57011      1.65371     1.69993     1.74937     1.85513   0.00243337
a    food    183                1.26419   0.0513544     1.16668      1.22938     1.26194     1.29794       1.372   0.00157761
a    food    184                1.26072   0.0513228     1.16191      1.22557     1.26108     1.29557     1.36352   0.00170661
a    food    185                1.51311   0.0564086      1.4062      1.47433     1.51225      1.5489     1.63119   0.00170052
a    food    186                1.38558    0.053674     1.28537       1.3491     1.38375     1.42051     1.49762   0.00137333
a    food    187                1.48859   0.0588563     1.37216         1.45     1.48601     1.52665      1.6073   0.00206872
a    food    188                1.24593   0.0464567     1.15627      1.21385      1.2445     1.27688     1.34166   0.00140709
a    food    189                1.78469   0.0805327     1.63546       1.7303     1.78532     1.83774     1.94345   0.00257285
a    food    190                1.45383   0.0537539     1.34747      1.41861     1.45397     1.48778     1.55983   0.00168967
a    food    191                 1.5227   0.0592019      1.4137      1.47993     1.52012     1.56279       1.644   0.00175864
a    food    192                1.46357   0.0618543     1.34516      1.42247     1.46106     1.50483     1.58536   0.00192283
a    food    193                1.30942   0.0535235     1.20918      1.27216     1.30745     1.34407     1.41665   0.00181656
a    food    194                1.27563   0.0485875     1.17963      1.24331     1.27543     1.30636     1.37553   0.00127509
a    food    195                1.66892   0.0787119     1.52608      1.61303     1.66415     1.72099     1.82892   0.00270764
a    food    196                1.71326    0.063398     1.58958      1.66981     1.71239      1.7556     1.84294    0.0017808
a    food    197                1.65401   0.0806898     1.49733       1.5981     1.65179      1.7061     1.81976   0.00251817
a    food    198                1.48476   0.0615061     1.37181      1.44381     1.48266     1.52448     1.61109   0.00213734
a    food    199                1.43285   0.0708764     1.30205      1.38657      1.4306     1.47715     1.58518   0.00254743
a    food    200                1.63625   0.0628109     1.51615      1.59266     1.63388     1.67761     1.76585   0.00193868
a    food    201                 1.1192   0.0493079     1.02943      1.08488     1.11784     1.15276     1.21959   0.00162612
a    food    202                1.40456    0.054751     1.30205      1.36689     1.40267     1.44126     1.51908   0.00161292
a    food    203                 1.3249   0.0530733     1.22481      1.28802      1.3249     1.35889     1.43234   0.00164896
a    food    204                 1.2674   0.0586859     1.15981      1.22816     1.26533     1.30679     1.38977   0.00188879
a    food    205                1.76582   0.0639287     1.64424      1.72163     1.76443     1.80803     1.89496   0.00197581
a    food    206                1.33761   0.0539342     1.23532      1.29944     1.33614     1.37263     1.44816   0.00167668
a    food    207                1.05269    0.044957    0.966098      1.02235     1.05249     1.08304     1.14269   0.00146397
a    food    208                1.21745   0.0515232     1.12234      1.18213      1.2166     1.25116     1.32278   0.00150811
a    food    209                1.28098   0.0571746      1.1744       1.2411     1.28075     1.32105     1.39253   0.00208952
a    food    210                1.54808   0.0597216     1.43238      1.50914     1.54657     1.58738     1.66924   0.00199648
a    food    211                1.59006   0.0683229     1.46827      1.54231     1.58871     1.63368     1.73421   0.00249787
a    food    212                1.48921   0.0556639     1.38235      1.45243     1.48785     1.52444     1.60638   0.00168259
a    food    213                1.08255   0.0424703      1.0018      1.05351     1.08189     1.11004     1.16999   0.00130773
a    food    214                1.43112   0.0558442     1.32586      1.39322     1.42668     1.46803     1.54723   0.00175211
a    food    215                 1.3319    0.053846     1.22817      1.29552      1.3311     1.36821     1.44118   0.00181691
a    food    216                1.24977   0.0503709     1.15425      1.21675     1.24755     1.28131     1.35527     0.001469
a    food    217                1.32342   0.0588981     1.21071      1.28161     1.32091      1.3626     1.44419   0.00201598
a    food    218                1.60019   0.0684877     1.47819      1.55222     1.59649     1.64526     1.74068   0.00204643
a    food    219                1.19272   0.0735226     1.06067      1.13534     1.19479     1.24593     1.33492   0.00439113
a    food    220                1.38347   0.0630176     1.25618      1.34203     1.38214     1.42527     1.50908   0.00203648
a    food    221                1.36151   0.0574835     1.25335      1.32434     1.35992     1.39696     1.48039   0.00181879
a    food    222               0.988858   0.0414752    0.911401     0.959394    0.988068     1.01473     1.07822    0.0015526
a    food    223                1.05173    0.049919    0.955521      1.01668     1.05135     1.08491     1.15134   0.00175964
a    food    224                1.52332   0.0628869     1.40442      1.48138      1.5216     1.56419     1.65458   0.00190181
a    food    225                1.06327   0.0489244    0.974947      1.02884     1.06088     1.09539     1.16615   0.00159601
a    food    226                1.27981   0.0591535      1.1726       1.2369     1.27844      1.3183     1.39668   0.00203392
a    food    227                1.33418   0.0909625     1.18757      1.26856     1.31944     1.38864     1.52826   0.00596658
a    food    228                1.37231   0.0667105     1.24332      1.32479     1.37193     1.41798      1.5069   0.00249788
a    food    229                1.27141   0.0549614     1.16431      1.23355     1.26992     1.31056     1.37876   0.00206756
a    food    230                1.36873   0.0572633     1.25713      1.32844     1.36886     1.40607     1.48059   0.00191626
a    food    231                1.26095   0.0504663     1.16421      1.22561     1.26084     1.29478     1.36155     0.001673
a    food    232                1.35485   0.0566289     1.24894      1.31664     1.35434     1.39425     1.47175   0.00168847
a    food    233                1.02709   0.0529709    0.926985     0.991005     1.02351     1.06292     1.13942   0.00215216
a    food    234               0.940353   0.0491415    0.851542     0.906647    0.936865     0.97159     1.04337   0.00162782
a    food    235                1.15619   0.0473008     1.06398      1.12549     1.15445     1.18539     1.25416    0.0014447
a    food    236                1.22383   0.0508062     1.13142      1.18874     1.22274     1.25839     1.32548   0.00166195
a    food    237                1.35231   0.0583494     1.23852      1.31251     1.35274     1.39223     1.46615   0.00228293
a    food    238               0.935452    0.039748    0.863862      0.90684    0.934382    0.961018     1.01895   0.00116108
a    food    239                1.40159   0.0531623     1.30003      1.36602     1.40069     1.43852     1.50662   0.00197464
a    food    240                1.10145   0.0454714     1.01677       1.0696     1.10122     1.13172     1.19117   0.00153894
a    food    241                1.47373   0.0566631     1.36014      1.43484     1.47575     1.51045      1.5855   0.00149042
a    food    242                1.43543    0.068127     1.30769      1.38948     1.43312     1.47914     1.57924   0.00268682
a    food    243               0.943903   0.0452813    0.855957     0.913548    0.943011    0.974182     1.03294   0.00158648
a    food    244                  1.314   0.0496797     1.22191      1.28038     1.31157     1.34729     1.41606   0.00149667
a    food    245                1.45681   0.0572878     1.35024      1.41824      1.4556     1.49422     1.57443   0.00182822
a    food    246                1.56696   0.0587438     1.45672      1.52568     1.56576     1.60689     1.68494   0.00177904
a    food    247                1.41609   0.0734166     1.27634      1.36792     1.41631     1.46353     1.56031   0.00327894
a    food    248                1.13394   0.0592221     1.00429      1.09872     1.13884     1.17457     1.24018   0.00236477
a    food    249                1.29706   0.0584816     1.18731      1.25629     1.29636     1.33459     1.41654   0.00207873
a    food    250                1.50804    0.070774     1.37869      1.45867     1.50473     1.55282     1.66131    0.0023795
a    food    251                1.29745   0.0557812     1.18818      1.26024     1.29908     1.33418     1.40562   0.00195224
a    food    252                1.48509   0.0548003     1.37574      1.44808     1.48521     1.52182     1.59184   0.00173059
a    food    253                1.40032   0.0765815     1.25356      1.34843     1.39757     1.45244     1.55254   0.00308961
a    food    254                1.43781   0.0550392     1.33379       1.4003     1.43691     1.47446     1.54798   0.00183099
a    food    255                1.51572   0.0574853     1.40551      1.47585     1.51441     1.55556     1.62891   0.00168545
a    food    256                1.45245   0.0629612      1.3389      1.40899     1.44957      1.4921     1.58009   0.00213637
a    food    257                1.25122   0.0485228     1.15683      1.21753     1.25065     1.28348     1.34803   0.00171534
a    food    258                 1.4723   0.0750567     1.33787      1.42035      1.4702     1.51759      1.6314   0.00251568
a    food    259                1.08322   0.0467264    0.993823       1.0517     1.08211     1.11524     1.17848   0.00150298
a    food    260                1.44977   0.0565321     1.34346      1.41029     1.44841     1.48769     1.55898   0.00174583
a    food    261                1.59292   0.0689675     1.46181      1.54685     1.59122     1.63776     1.73175   0.00219024
a    food    262                1.29823   0.0570685     1.18515      1.25868     1.29823     1.33794     1.40755   0.00194152
a    food    263                1.16344   0.0461249      1.0778      1.13246     1.16195     1.19334     1.25825   0.00148669
a    food    264                1.34385   0.0624817     1.22758       1.3011     1.34015     1.38478     1.47487   0.00212597
a    food    265                 1.6925   0.0681992     1.56027      1.64696     1.69159     1.73581      1.8319   0.00197671
a    food    266                 1.2771   0.0464035     1.19004      1.24547     1.27549     1.30726     1.36833    0.0013983
a    food    267                1.25722   0.0741404     1.11623      1.20439     1.25691     1.30902     1.40554   0.00324482
a    food    268                1.14466   0.0510312     1.05095      1.10935     1.14283     1.17863     1.25119   0.00176884
a    food    269                1.59533   0.0619621     1.47826      1.55173      1.5934     1.63698     1.71337   0.00176697
a    food    270                1.20847   0.0560638     1.10404       1.1708     1.20507     1.24493     1.32287   0.00196696
a    food    271                1.43791   0.0550692     1.33483      1.40161      1.4361     1.47393     1.55476   0.00179982
a    food    272                1.28422   0.0555809     1.17981      1.24635     1.28153     1.32279     1.39291   0.00157137
a    food    273                1.40624   0.0564666      1.3006      1.36775     1.40498     1.44305     1.52432   0.00180116
a    food    274                1.14558   0.0502549      1.0484      1.11184     1.14486     1.17808     1.24528   0.00166314
a    food    275                1.48194   0.0590043      1.3729      1.44095     1.48088     1.52037      1.6012   0.00195202
a    food    276                1.03945   0.0446076    0.956976      1.00816     1.03821     1.06893     1.12998   0.00133985
a    food    277                 1.6512   0.0691216     1.51511      1.60517     1.65289     1.69725     1.79143   0.00247723
a    food    278                1.19655   0.0486484     1.10497      1.16218     1.19556     1.22715     1.29546   0.00162213
a    food    279                1.04105   0.0429219    0.961685      1.01137     1.03858     1.06903     1.13148   0.00153148
a    food    280                1.48428    0.062254     1.36922      1.44118     1.48184     1.52388     1.61201   0.00209661
a    food    281                 1.3023    0.053568      1.1985      1.26685     1.30262     1.33655     1.41034   0.00164649
a    food    282                1.36824   0.0658091     1.24607      1.32392     1.36499     1.41091     1.50395   0.00247293
a    food    283               0.929062   0.0527163    0.820122     0.893722    0.930102    0.963861     1.03112   0.00227736
a    food    284                1.02258   0.0440535    0.940048     0.993232     1.02023     1.05205     1.10794    0.0014095
a    food    285                1.36141     0.06556     1.23636      1.31524     1.36018     1.40698     1.49418   0.00249352
a    food    286                1.38844   0.0682348     1.26179      1.33951     1.38437     1.43348     1.52759   0.00250243
a    food    287                1.34107   0.0573687     1.22949      1.30108     1.33961     1.37932     1.45798   0.00228333
a    food    288                1.48338    0.063026     1.36182      1.44123     1.48273     1.52485     1.60918   0.00205629
