param                                 mean       std       2.5q       25q       50q       75q      97.5q    mc_err
a_subj(AN.food).37                1.467588  0.066121   1.344585  1.422716  1.465132  1.510678   1.604348  0.001932
a_subj(AN.food).38                1.626983  0.065011   1.508055  1.583105  1.624034  1.669236   1.759739  0.002174
a_subj(AN.food).40                 1.61014  0.069286   1.479101  1.564505  1.609146  1.654831   1.753361  0.002687
a_subj(AN.food).41                1.019512  0.051252   0.921461  0.984719  1.019533  1.053346   1.126312   0.00223
a_subj(AN.food).42                1.075308  0.059217   0.965095  1.034197   1.07391  1.114506   1.195932  0.002321
a_subj(AN.food).48                1.691318  0.069254   1.561229  1.643556  1.689407  1.733342   1.842421  0.002213
a_subj(AN.food).50                1.004731  0.052648   0.902564  0.967735  1.005772    1.0407    1.10832  0.002074
a_subj(AN.food).51                1.246319  0.059405    1.13601  1.205337  1.244815   1.28656   1.367756  0.002287
a_subj(AN.food).54                1.395097  0.055912   1.289641  1.357572  1.392141  1.432294   1.510073  0.001873
a_subj(AN.food).56                2.147146  0.181811   1.835761  2.018866  2.132992  2.254519   2.550993  0.010917
a_subj(AN.food).58                1.702324  0.063302   1.586313  1.656933  1.701846  1.745139   1.828994  0.001788
a_subj(AN.food).59                 1.50482  0.056792   1.393057  1.467635  1.504035  1.542316   1.624485  0.001888
a_subj(AN.food).61                1.464453  0.058086   1.357189  1.424481  1.461032  1.502593   1.586878  0.001986
a_subj(AN.food).62                1.706183  0.061634   1.590268  1.665727  1.701567  1.747052   1.830136  0.001634
a_subj(AN.neutral).1              1.132737  0.045581   1.047792  1.101653   1.13066  1.163541   1.221518  0.001542
a_subj(AN.neutral).6              1.133706  0.047209   1.046427  1.101513  1.132487  1.164231    1.23042  0.001725
a_subj(AN.neutral).7               1.44685  0.055546   1.339049  1.409254  1.446395  1.484049   1.558095  0.001787
a_subj(AN.neutral).9              1.240048  0.048658   1.149573  1.206623  1.237197  1.271283    1.34219  0.001477
a_subj(AN.neutral).10             1.109244  0.059636    1.00482   1.06873  1.105781  1.148002   1.232704  0.002147
a_subj(AN.neutral).11             1.338049  0.060283   1.226189  1.296527  1.336708  1.378326   1.461486  0.002257
a_subj(AN.neutral).12             1.624749  0.068569   1.500184  1.576594  1.625456  1.670569   1.766805  0.002011
a_subj(AN.neutral).13             0.955483  0.036518   0.886076  0.930411  0.955164  0.979672   1.029677  0.001115
a_subj(AN.neutral).14             1.836416  0.092219   1.661928  1.770699  1.834394  1.893982   2.031748   0.00287
a_subj(AN.neutral).19             1.705012  0.069032   1.576919  1.656993  1.701093  1.751165   1.842436  0.002511
a_subj(AN.neutral).20             1.413307   0.07078   1.283926  1.363786  1.412517  1.460956    1.55865  0.002843
a_subj(AN.neutral).21             0.925517  0.037163   0.854812  0.900818  0.923933  0.949567   1.004017  0.001047
a_subj(AN.neutral).24             1.339031  0.058299    1.23002  1.297056  1.337112  1.377305   1.460302  0.001914
a_subj(AN.neutral).25             1.081182  0.053316   0.986235  1.043123  1.079692  1.115844   1.191593   0.00167
a_subj(AN.neutral).26              1.22712  0.051235   1.132324  1.192969  1.224679  1.260536    1.33402  0.001415
a_subj(AN.neutral).28             1.291759  0.050029   1.193488  1.258876  1.292035  1.325664   1.395227   0.00144
a_subj(AN.neutral).31             1.320643  0.053033   1.220737  1.283997  1.320912  1.353658   1.428758  0.001778
a_subj(AN.neutral).32             1.241581  0.049784     1.1489  1.206969  1.241607    1.2739   1.341528  0.001646
a_subj(AN.neutral).34             1.263315  0.052306   1.168059  1.227513  1.261631  1.295859   1.376169  0.001648
a_subj(AN.neutral).35             1.401106  0.059335   1.288362  1.361342  1.398999  1.440524    1.52568  0.001897
a_subj(AN.neutral).36             1.190014  0.056729   1.084793  1.151302  1.187242  1.227309   1.305878   0.00203
a_subj(AN.neutral).38             1.542206  0.057785   1.434308  1.501911  1.540489  1.578553   1.661628  0.001772
a_subj(AN.neutral).40             1.380257  0.063551   1.259076  1.337433  1.377642  1.421482   1.511509  0.002134
a_subj(AN.neutral).41             1.199333  0.048672    1.10723  1.167636  1.198982  1.230433    1.29934  0.001596
a_subj(AN.neutral).42             0.822006  0.049526   0.735201  0.788783  0.818127  0.851387   0.927964  0.001971
a_subj(AN.neutral).48             1.265697  0.059721   1.155278  1.223113  1.263954  1.305774   1.385735  0.002084
a_subj(AN.neutral).50              0.85751  0.036711   0.791339  0.831777  0.855898  0.880711   0.933388  0.001216
a_subj(AN.neutral).51             1.254698  0.067489   1.129725  1.208638  1.248403  1.299179    1.40476  0.002922
a_subj(AN.neutral).54             1.358439  0.055826   1.251291  1.320607  1.357294  1.396258   1.468628  0.001676
a_subj(AN.neutral).56             1.047831  0.046197   0.963569  1.015265   1.04519  1.077848   1.140443  0.001391
a_subj(AN.neutral).58             1.604201  0.057976   1.496098  1.564277  1.603571   1.64298   1.720732  0.001585
a_subj(AN.neutral).59             1.446117  0.054126   1.342736  1.410283  1.444506  1.481021   1.558535  0.001416
a_subj(AN.neutral).62             1.270178  0.060012    1.15882  1.227977   1.26673  1.308906   1.397618  0.001894
a_subj(AN.neutral).294            1.014153  0.041361   0.936482  0.987157  1.012368  1.043088   1.097667  0.001287
a_subj(AN.neutral).295            1.399611  0.053607     1.3021  1.360513  1.398873  1.435551   1.506619  0.001767
a_subj(AN_R.food).2               0.933269  0.044345   0.851166  0.902296  0.931576  0.962746   1.025709  0.001719
a_subj(AN_R.food).3                 1.2584  0.050226   1.168351  1.222419  1.256845  1.290725   1.363916  0.001595
a_subj(AN_R.food).5               1.307417  0.059542   1.194496  1.264982  1.305952  1.345574    1.43022  0.002252
a_subj(AN_R.food).8               1.689081  0.064021   1.572352  1.643605  1.687727  1.732421   1.822255  0.001717
a_subj(AN_R.food).22              1.601207  0.062714   1.483313  1.556606  1.599872  1.642928   1.728077     0.002
a_subj(AN_R.food).29              1.690005  0.068961   1.563218  1.640658  1.690227  1.736296   1.828844  0.002031
a_subj(AN_R.food).47              0.867367  0.039162   0.795772  0.840548   0.86581  0.891711    0.95077  0.001422
a_subj(AN_R.food).49              1.756505  0.064209   1.631825  1.713785  1.752683   1.79844   1.887559  0.001738
a_subj(AN_R.food).55              1.402396   0.06819   1.272344  1.356493  1.401331  1.445079    1.54463  0.002582
a_subj(AN_R.neutral).2            1.120892   0.04316   1.043385   1.09135  1.120061  1.149671   1.208608  0.001241
a_subj(AN_R.neutral).3            1.192102  0.046796   1.103826  1.159399  1.189714   1.22268   1.288026  0.001427
a_subj(AN_R.neutral).5            1.036765  0.062352   0.926043  0.994709  1.032877  1.075557   1.173921  0.002652
a_subj(AN_R.neutral).8            1.450862  0.062998   1.330691  1.409905  1.450138  1.491495   1.579031  0.002105
a_subj(AN_R.neutral).22           1.613367  0.065496    1.49071  1.568686  1.612147  1.655575   1.749179  0.002068
a_subj(AN_R.neutral).29            1.45148  0.059513   1.344938  1.409508  1.450318  1.491152   1.571328  0.001873
a_subj(AN_R.neutral).47           1.020023  0.042565   0.937633  0.990612   1.01896  1.049101   1.106394  0.001014
a_subj(AN_R.neutral).49           1.442895  0.053648   1.339457  1.405222   1.44194  1.480015   1.547694  0.001493
a_subj(AN_R.neutral).55           1.233687  0.057239   1.129573  1.193603  1.232366  1.271223   1.350763  0.001991
a_subj(AN_R.neutral).293          1.580939  0.065943   1.460533  1.536669  1.578802  1.623485   1.719078  0.002184
a_subj(BN.food).4                 1.677724  0.070437   1.540164  1.630023  1.676461  1.725288   1.820425  0.002537
a_subj(BN.food).15                1.698168   0.06695   1.571342  1.652715  1.695981  1.743123   1.832121  0.002084
a_subj(BN.food).16                1.466676  0.057931   1.353929  1.429184  1.465702  1.504355   1.584539  0.001949
a_subj(BN.food).17                1.556707  0.058307   1.445916   1.51588  1.554503  1.595963   1.671281  0.001891
a_subj(BN.food).23                1.305105  0.054628   1.203676  1.267127  1.303793  1.343068    1.41396  0.001726
a_subj(BN.food).33                1.547138  0.069633   1.410622  1.499997  1.547465  1.594631   1.689486  0.002513
a_subj(BN.food).43                1.446195  0.075981   1.300207  1.393669  1.445075   1.49533    1.59926   0.00312
a_subj(BN.food).45                1.476338  0.053084   1.376646  1.438197  1.476544  1.511617   1.582134  0.001724
a_subj(BN.food).46                1.122273  0.046014   1.039899  1.089043  1.119485  1.154889   1.213205  0.001476
a_subj(BN.food).52                1.527462   0.07994   1.385887  1.472295  1.522289  1.579718   1.699569  0.002634
a_subj(BN.food).53                1.922995  0.069274    1.79086  1.876065  1.921355  1.969078   2.061013  0.002057
a_subj(BN.food).57                0.864205  0.042595   0.786382  0.835472  0.862878  0.891549   0.954122  0.001863
a_subj(BN.neutral).4               1.60498  0.065438   1.482279   1.55917  1.604247   1.64862   1.737484  0.001932
a_subj(BN.neutral).16             1.162045  0.052928   1.064618  1.126397  1.160119  1.196587   1.269066  0.001648
a_subj(BN.neutral).17              1.37719  0.068798   1.252838  1.331278  1.372932  1.420975   1.524801  0.002953
a_subj(BN.neutral).23             1.164201   0.04856   1.073577  1.130446  1.162443  1.196903   1.264853  0.001814
a_subj(BN.neutral).33             1.094334  0.056446   0.982782  1.054424  1.094347  1.134378   1.204045  0.002273
a_subj(BN.neutral).45             1.535915  0.064815   1.410144   1.49215  1.535216  1.580878   1.661168  0.001888
a_subj(BN.neutral).46             0.986167  0.050137   0.894015  0.950467  0.985394  1.018512   1.090259  0.001659
a_subj(BN.neutral).52             0.927756  0.047632   0.839023  0.895877    0.9256  0.958198   1.025686  0.001736
a_subj(BN.neutral).53             1.276492  0.050735   1.177764  1.241252  1.277438  1.310172   1.373197  0.001483
a_subj(BN.neutral).57             1.173737    0.0501    1.07925  1.139293  1.171717  1.207611   1.273179  0.001803
a_subj(BN_R.food).18              1.827708  0.067182    1.69829  1.781616  1.826722  1.873629   1.958669  0.002261
a_subj(BN_R.food).27              1.207479  0.047466   1.115679  1.176318  1.206502  1.236933   1.302543  0.001568
a_subj(BN_R.food).39              1.469978  0.065714   1.346993  1.425494  1.469264  1.512561   1.599817  0.002525
a_subj(BN_R.food).44              1.318358  0.059161   1.205286  1.276814  1.318326  1.359037   1.434061   0.00214
a_subj(BN_R.food).60              1.109181  0.050896   1.014115   1.07387  1.107303  1.143786   1.214061  0.001735
a_subj(BN_R.neutral).18           1.536073  0.060312   1.418479  1.496877  1.533439  1.574686   1.660922  0.001817
a_subj(BN_R.neutral).27            1.40708   0.05528   1.307506  1.369092  1.403575  1.441938   1.525162  0.001764
a_subj(BN_R.neutral).39           1.127859  0.057138   1.025165  1.088468  1.125891  1.163809   1.248023   0.00224
a_subj(BN_R.neutral).44           1.113421  0.048155   1.027067  1.079733  1.111619  1.144596   1.213573  0.001664
a_subj(BN_R.neutral).60           1.222313  0.058349    1.11618    1.1789  1.221343  1.261087   1.340947    0.0023
a_subj(HC.food).63                 1.21627  0.052523   1.111439  1.181471  1.216207  1.250525   1.319835  0.001597
a_subj(HC.food).64                  1.2092   0.06829   1.082634  1.161949  1.205206  1.251579   1.351138  0.003095
a_subj(HC.food).65                1.327374  0.060092   1.215778  1.285181  1.325716  1.367773   1.447463  0.001761
a_subj(HC.food).67                1.419257  0.053893    1.31878  1.381316  1.418461  1.456395   1.531586  0.001482
a_subj(HC.food).69                1.284596  0.053599   1.187779  1.247865  1.282079  1.319267   1.395281  0.001666
a_subj(HC.food).70                 0.98043  0.045075   0.899452  0.949126  0.978561  1.009391   1.076284  0.001453
a_subj(HC.food).72                 1.24523  0.050355   1.149579  1.210792  1.244296  1.278019   1.349758  0.001644
a_subj(HC.food).73                 1.25008  0.060375   1.143326  1.207414  1.246483  1.289798   1.378665  0.001961
a_subj(HC.food).74                1.642945  0.071436   1.510757  1.593195  1.641243  1.689971   1.787411  0.002545
a_subj(HC.food).75                1.658231  0.065411   1.531244  1.614122  1.655436  1.699588   1.794225  0.001835
a_subj(HC.food).76                1.581153  0.071742   1.448072  1.534852  1.579075  1.625723   1.721652  0.002421
a_subj(HC.food).77                1.549308  0.059243    1.44313  1.509531  1.545709  1.588909   1.669406  0.001907
a_subj(HC.food).78                1.091093  0.043736   1.012761  1.060224  1.089449  1.120825   1.182067  0.001336
a_subj(HC.food).79                  1.1929  0.055675   1.083579  1.155409  1.191031  1.229128   1.307121  0.001798
a_subj(HC.food).80                  1.2543  0.052614   1.158511  1.218925  1.252475   1.28803   1.364754  0.001652
a_subj(HC.food).81                1.388626  0.056192   1.284545  1.349077  1.387511  1.425847   1.504807  0.001656
a_subj(HC.food).82                 1.49021  0.054782   1.385733  1.452531  1.487772  1.525812   1.602184  0.001352
a_subj(HC.food).83                1.260894  0.049942   1.167976  1.226494  1.260124  1.294285   1.364106  0.001602
a_subj(HC.food).85                1.714518   0.06184   1.598356  1.672363  1.712959   1.75602   1.839334  0.001813
a_subj(HC.food).86                1.352939  0.055297   1.248453  1.314416  1.352606  1.387882   1.462104  0.001713
a_subj(HC.food).88                1.030346  0.059861   0.927382  0.988409  1.026625  1.066167   1.163363  0.002681
a_subj(HC.food).89                1.454871  0.054735   1.343808  1.419221  1.454433  1.490531   1.565591  0.001896
a_subj(HC.food).90                1.040375   0.04769     0.9563  1.008209  1.037315  1.069761   1.142789  0.001516
a_subj(HC.food).91                1.084813  0.052655    0.99427  1.048451  1.080834  1.118187   1.201886  0.002073
a_subj(HC.food).93                1.029038  0.046529   0.943761  0.996511  1.028134  1.060036   1.125421  0.001459
a_subj(HC.food).94                1.561515  0.058387   1.453259  1.521343  1.560897  1.600341   1.683366  0.001574
a_subj(HC.food).95                1.433183  0.058419   1.322121  1.395401  1.432341   1.47037    1.55136  0.001782
a_subj(HC.food).97                1.512955  0.056658   1.402165   1.47591  1.513545  1.551104   1.625461  0.001488
a_subj(HC.food).98                1.341337  0.057018   1.240585  1.300797  1.339678  1.378544   1.462078  0.001964
a_subj(HC.food).99                1.420089  0.058119   1.305901  1.379868  1.417542  1.459183   1.536371  0.002016
a_subj(HC.food).100               1.325794  0.049944   1.226027  1.291542  1.326435  1.360746    1.42079  0.001404
a_subj(HC.food).101               1.461549  0.058475   1.350322  1.421621  1.460642  1.500723   1.582825  0.002096
a_subj(HC.food).103               1.210432  0.058372   1.103715  1.169651  1.210352  1.248031   1.329461  0.002126
a_subj(HC.food).104               1.574003  0.061986   1.455263  1.531255  1.572417  1.615759   1.700682  0.001944
a_subj(HC.food).105               1.379643   0.05385   1.280496  1.342854  1.378571  1.414421   1.494017  0.001654
a_subj(HC.food).106               1.283524  0.056995    1.17793  1.243273  1.279892  1.323078   1.402189  0.002065
a_subj(HC.food).107               1.785014  0.084526   1.626927  1.727666  1.783548  1.841393   1.961409  0.003297
a_subj(HC.food).108               1.334684  0.069575   1.210167  1.286287   1.33014  1.379181   1.479145  0.002483
a_subj(HC.food).109               1.221674  0.047252   1.133094  1.189982  1.220039  1.253008   1.320081  0.001634
a_subj(HC.food).110               1.086885  0.057302   0.979972  1.047229  1.085372   1.12271   1.204243  0.002222
a_subj(HC.food).111               1.165226  0.055096   1.061771  1.128091  1.164023  1.201451   1.279261  0.001904
a_subj(HC.food).112               1.128614  0.047147   1.041585  1.095853  1.126843  1.159281   1.225707  0.001335
a_subj(HC.food).113               1.215161  0.050974   1.123239  1.178603  1.211965  1.248741   1.320717  0.001459
a_subj(HC.food).114               1.460978  0.060165   1.344022  1.420329  1.460679  1.500383   1.581366  0.002093
a_subj(HC.food).115               1.684745  0.072099   1.547118  1.635953  1.682126  1.730985   1.827987   0.00264
a_subj(HC.food).116               1.752066  0.088217   1.572473  1.693793   1.75125  1.809214   1.930396  0.004475
a_subj(HC.food).118               1.756287  0.088656   1.592384  1.693845  1.753427  1.816992   1.937217   0.00388
a_subj(HC.food).120               1.432595  0.063014   1.307801   1.39171  1.429759  1.475632    1.55819  0.002314
a_subj(HC.food).121               1.117835  0.055424    1.01622  1.080381  1.116825  1.155049   1.228913  0.001894
a_subj(HC.food).122               1.485756   0.06178   1.373836  1.442794  1.482667  1.526227   1.612652  0.001825
a_subj(HC.food).123               1.202016  0.054322    1.10462  1.163893  1.199634  1.237226   1.317987  0.001684
a_subj(HC.food).124               1.480103  0.057477   1.369527  1.441194  1.478349  1.519802   1.596498  0.001677
a_subj(HC.food).125               1.339015  0.072357   1.211133    1.2864  1.334899   1.38608   1.491736  0.003098
a_subj(HC.food).126               0.998509   0.04045   0.920147  0.970992  0.997894  1.026431   1.081152  0.001238
a_subj(HC.food).128               1.096434   0.05285   0.999146  1.061663  1.093359  1.128443   1.212222  0.001887
a_subj(HC.food).129                 1.4589  0.062447   1.339571  1.416228  1.457483   1.49921   1.588713  0.002057
a_subj(HC.food).130               1.363086  0.055595   1.262547  1.322621  1.360936  1.399821   1.477585  0.001876
a_subj(HC.food).131                 1.2695  0.051898   1.173794  1.233078   1.26931  1.302744   1.371702  0.001542
a_subj(HC.food).132               1.068309  0.045775   0.980197  1.037894  1.068337  1.099066   1.159337  0.001431
a_subj(HC.food).133                1.64189  0.064273   1.520962  1.598283  1.639643  1.680941   1.781529  0.001681
a_subj(HC.food).134               1.551557  0.065685   1.426689  1.506852  1.547369  1.592389   1.690461  0.001952
a_subj(HC.food).135               0.912211  0.057379   0.818015  0.871977  0.906073  0.945052   1.049835  0.003155
a_subj(HC.food).136               1.378307  0.059859   1.264999  1.337865  1.376489  1.415267   1.506625  0.002207
a_subj(HC.food).137               1.665645  0.063642   1.556417  1.621095  1.662338  1.704758   1.804613   0.00188
a_subj(HC.food).138               1.115415  0.054033   1.014276  1.078724  1.113221  1.150268   1.227508  0.001741
a_subj(HC.food).139               1.044699  0.050717   0.947456  1.009731  1.043975  1.076376   1.149048  0.001734
a_subj(HC.food).140               1.196457  0.048188   1.105163   1.16377  1.195598  1.229623   1.293731  0.001569
a_subj(HC.food).141               1.540982  0.057122    1.43459  1.501304  1.538985  1.576092   1.657662  0.001353
a_subj(HC.food).142               1.096299  0.042961   1.017705   1.06712  1.093988  1.124824   1.183513  0.001447
a_subj(HC.food).143               1.175066  0.047006   1.086511  1.143748  1.175649  1.206715   1.270952  0.001355
a_subj(HC.food).144               1.717228  0.064516   1.591743  1.672404  1.715529  1.759987   1.846949   0.00176
a_subj(HC.food).145               1.339986  0.055015   1.233355  1.302973  1.340713  1.377098   1.451125  0.001579
a_subj(HC.food).146               1.122283  0.052121   1.023713  1.086034  1.122192  1.156628   1.225339  0.001967
a_subj(HC.food).147               1.233932  0.053975   1.132677  1.196845  1.230873  1.270105   1.346199  0.001653
a_subj(HC.food).148               1.046003  0.044708   0.966246  1.014533  1.043914   1.07476   1.144063  0.001294
a_subj(HC.food).149               1.359808  0.051493   1.259087  1.325461  1.360097  1.394137    1.46251  0.001525
a_subj(HC.food).150               1.408805  0.055766   1.303554  1.369845  1.408086   1.44667   1.519039  0.001828
a_subj(HC.food).151               1.703119  0.061724   1.585275   1.66329  1.701607  1.743167   1.829473  0.001687
a_subj(HC.food).152               1.348222  0.056582   1.245673  1.309277  1.345594  1.383902    1.47463   0.00174
a_subj(HC.food).154               1.317868   0.05399   1.213412  1.279772  1.317269   1.35419   1.426716  0.001723
a_subj(HC.food).155               1.522211  0.065001   1.401218   1.47807  1.520506  1.566342   1.654077  0.001988
a_subj(HC.food).156               1.204135  0.051287   1.106187  1.170194  1.203278   1.23916   1.308129  0.001605
a_subj(HC.food).158                  1.603   0.07426   1.463177  1.554224  1.600252  1.651247   1.750734  0.002619
a_subj(HC.food).159               1.224946  0.058344   1.112252  1.184409  1.223264  1.262986   1.340972  0.001959
a_subj(HC.food).160                1.10906  0.052257   1.015073   1.07222  1.106347  1.142369   1.222895  0.001864
a_subj(HC.food).161               1.550693  0.059421   1.441202  1.511343  1.549648  1.590082   1.669444  0.001622
a_subj(HC.food).163               1.134824  0.053005   1.039159  1.097435  1.132456   1.16826   1.246567  0.001979
a_subj(HC.food).165               1.405429  0.056307   1.296273  1.365002  1.405646  1.443232   1.517614  0.001636
a_subj(HC.food).167               1.546818  0.062699   1.427616   1.50469  1.545987  1.586786   1.670174  0.001936
a_subj(HC.food).168               1.312254  0.051435    1.21533  1.277557  1.310805  1.345802   1.416149  0.001441
a_subj(HC.food).169               1.518943  0.057783   1.413739  1.478901  1.515574  1.557296   1.645936    0.0019
a_subj(HC.food).170               1.544736  0.060644    1.43355  1.503344  1.544371  1.583064   1.668908  0.001725
a_subj(HC.food).171               1.575783  0.064982    1.45245  1.530934  1.573765  1.621218   1.703937  0.002079
a_subj(HC.food).172               1.316063  0.065869    1.19471  1.272493  1.312915  1.357738    1.45044  0.002616
a_subj(HC.food).173               1.200185  0.050312   1.104193  1.166094  1.198764  1.233467   1.306508  0.001884
a_subj(HC.food).174               1.268813  0.053174   1.169854  1.232109  1.265893  1.302873   1.384268  0.001754
a_subj(HC.food).175               1.110675  0.060748   0.999991  1.066814  1.108987  1.152924   1.227139  0.002486
a_subj(HC.food).177               1.487865  0.057673   1.383139  1.447868  1.485793  1.524668   1.608785  0.001754
a_subj(HC.food).178               1.654803   0.06614   1.528345   1.61128   1.65296  1.700484   1.784808  0.001798
a_subj(HC.food).180               1.101043  0.048312   1.011267  1.067802  1.098858  1.132273   1.200582   0.00161
a_subj(HC.food).181               1.354438  0.052503   1.252649  1.318494  1.354631  1.390292   1.460904  0.001517
a_subj(HC.food).182               1.701453  0.069335   1.570959  1.654616  1.699104  1.747409   1.845192  0.002278
a_subj(HC.food).183               1.260893  0.051412   1.164026  1.225664  1.259474  1.296539   1.363129  0.001625
a_subj(HC.food).184                1.26051  0.050245   1.166601  1.224751  1.260079  1.295038   1.363477  0.001709
a_subj(HC.food).185               1.516081  0.054906   1.411815  1.478854  1.516188  1.552663   1.626645  0.001576
a_subj(HC.food).186               1.387303  0.054938   1.284404  1.349301  1.386787  1.423536   1.500468  0.001563
a_subj(HC.food).187               1.491577  0.058157   1.386515  1.451402  1.488853  1.530004   1.610087  0.001864
a_subj(HC.food).188               1.248061  0.048243   1.158836  1.215366  1.246787  1.280625   1.346581  0.001439
a_subj(HC.food).189               1.787708   0.08165   1.638087  1.731654   1.78294  1.842406   1.950653  0.002834
a_subj(HC.food).190               1.457349  0.052905   1.354028   1.42099  1.456094  1.492795   1.560647  0.001714
a_subj(HC.food).191               1.524504  0.057803   1.413123  1.485939  1.522861  1.562801   1.637313  0.001732
a_subj(HC.food).192               1.461967  0.062318   1.343134  1.420824   1.45986  1.503607   1.587312  0.001908
a_subj(HC.food).194               1.275383   0.04987   1.180596  1.242086  1.273813  1.308122   1.378321  0.001375
a_subj(HC.food).195               1.671423  0.077996   1.528682  1.616604  1.666927  1.725118   1.825971  0.002666
a_subj(HC.food).196               1.709115  0.063294   1.592117  1.664812  1.706466  1.751813   1.835921  0.002002
a_subj(HC.food).197               1.655475  0.075854   1.514579  1.603915  1.652464  1.708281   1.808716  0.002488
a_subj(HC.food).198               1.484359  0.061303   1.367664  1.441905  1.482333  1.525264   1.607329  0.001723
a_subj(HC.food).199               1.429785  0.073069    1.29504  1.380491  1.427176  1.475981   1.582919  0.002795
a_subj(HC.food).200               1.635769  0.062597   1.517553  1.591685  1.633149   1.67826   1.759777  0.002013
a_subj(HC.food).201               1.121844  0.047887   1.026783  1.090957  1.119809  1.152309   1.222495  0.001826
a_subj(HC.food).202               1.407247   0.05567   1.304479  1.368344  1.405414  1.443637   1.523359  0.001785
a_subj(HC.food).203               1.324214  0.053479   1.220895  1.287514  1.324501  1.358866   1.430434  0.001711
a_subj(HC.food).204               1.269047  0.062958   1.151158  1.224664  1.267948  1.313084   1.399455  0.002488
a_subj(HC.food).205               1.764461  0.065817   1.641667  1.718713  1.764298  1.809026   1.898178  0.001869
a_subj(HC.food).206                1.34089  0.053117   1.241019  1.304076  1.340751  1.377153   1.448775  0.001754
a_subj(HC.food).207               1.051406  0.046524   0.961102  1.020342  1.050528  1.081705   1.145339  0.001503
a_subj(HC.food).208               1.215817  0.048834   1.123463  1.182976  1.214887  1.248439    1.31399  0.001566
a_subj(HC.food).210               1.543577  0.057732   1.431643  1.505395   1.54293  1.581368    1.66031  0.001716
a_subj(HC.food).212               1.489444  0.055447   1.385307  1.450845  1.488279  1.529076   1.597437  0.001573
a_subj(HC.food).213               1.081523  0.043218   0.998852  1.051036   1.08046  1.110159   1.170516  0.001255
a_subj(HC.food).214               1.430414  0.055448   1.325961  1.391899  1.431347  1.466175   1.544353  0.001753
a_subj(HC.food).215               1.335546  0.057002   1.228929  1.296648  1.333426  1.374721   1.457039  0.002063
a_subj(HC.food).216               1.247908  0.050285   1.150771  1.214887  1.246927  1.279645   1.352343  0.001515
a_subj(HC.food).217               1.323056  0.059844   1.211959  1.281774  1.319863  1.363513   1.445613  0.001896
a_subj(HC.food).218               1.598658  0.066448   1.473904  1.551351  1.597415  1.642865   1.734634  0.002262
a_subj(HC.food).219               1.184813  0.071296   1.054999  1.131128  1.185208  1.239227   1.316823  0.003835
a_subj(HC.food).220               1.380692  0.059461   1.267685  1.339037  1.379072  1.420343   1.505287  0.002007
a_subj(HC.food).221               1.365208  0.055053   1.262433  1.326649  1.364158  1.402552   1.476075  0.001562
a_subj(HC.food).222               0.990876  0.043067   0.913669  0.961521  0.988822   1.01777   1.081929  0.001584
a_subj(HC.food).223               1.043402  0.048778   0.953856  1.009042  1.043425  1.075838   1.143952  0.001667
a_subj(HC.food).225               1.065445  0.048443   0.974789  1.031284  1.064206  1.097885   1.166054  0.001722
a_subj(HC.food).226               1.277484  0.059857   1.165332  1.236315   1.27533  1.318005    1.39705   0.00209
